Car,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12
Small,3293645.567,2715268.166,4618940.65,4413955.593,4480569.725,4552422.069,5431506.792,5563818.164,473107.6725,4881040.94,7045602.396,12696502.03,3230000.0
Small,3318218.418,2600008.29,4612452.857,4474004.258,4556371.066,4678142.104,5496556.892,5691566.969,468235.5288,4750460.695,6866286.919,12308454.28,3300000.0
Mid,2921273.767,2177641.446,5442658.679,4851815.006,5082138.491,4042851.847,5099255.254,5796905.869,1608061.116,5853879.927,8339309.588,11762607.14,1970000.0
Mid,2170544.56,1758619.822,4354809.471,3279413.545,3349865.656,3303847.143,6234404.299,4068885.507,1623483.656,6999403.505,7781783.337,9622231.531,2890000.0
Mid,2238351.122,1668485.997,2003292.317,1973515.219,2209203.303,2652439.601,2605576.788,1525788.73,2342003.69,4275505.64,3511535.296,6074749.822,1680000.0
RV,5687829.643,5454108.154,5597662.465,6195690.931,5657034.246,7137244.598,8338401.036,6576310.191,3773925.522,4935750.015,8899399.268,12519402.42,3860000.0
RV,3633324.819,2962522.398,2856583.851,3764539.384,4491660.64,6689820.516,8132642.118,4508807.686,2466626.362,4079588.813,4534564.643,8127702.292,2820000.0
