,,,,,,,,,,,,,,,,,,,,,,,,¨ç,,¨è,,¨é,,¨ê,,¨ë,,¨ì,,¨í,,¨î,,¨ï,,¨ð,,¨ñ,,¨ò,
,,Trimed Body,BIW,Trimed Body,BIW,MASS,MASS,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My,Mp,My
,KH,4.39,3.29,7823,5869,1782.004556,1783.890578,472,29.4,11.3,523,10,5.7,979,6.9,2.2,340,22.9,12.2,605,1.9,2.4,167,5545684.6,3263580.8,5033810,3019380.9,7266819.3,4494238.7,7718713.4,4753292.8,5675311,3679277.9,7688964.1,4734041.7,9861497,5974149.2,6254045.1,3335508.9,2074031.3,1080561.9,8001987.4,4301505.6,11062157.2,7139178.5,15069340.9,9845065.1
,DH,4.63,3.82,8734,7194,1886.393089,1883.246073,485,29.6,11.5,519,9.8,6,658,5.3,1.7,339,25.7,13.5,615,2.7,6.8,156,21310161,12310552.1,8397794.9,4709080.1,10303023.2,6183322.7,11021941.4,7107099.7,6445058.5,4246700.5,6386719.1,4356886,8138576.1,4976692.5,8013718.5,4779304.6,1975713.3,1225094.3,10984782,7064106.1,12066274.6,8501782.1,24099349,16542858.1
,LF,4.79,3.74,6895,5379,1439.457203,1438.235294,476,26.5,11.9,562,7.4,4.3,645,5.9,2.2,342,25.3,10,600,3,5.7,163,6153718.6,3153439.4,6121176.9,3353252.1,10226665.7,6008781.8,4960116,3152861,6451160.6,3771724.6,5394115.4,3554982.7,9054743.8,5415296.5,6839993.4,4191760.2,2147141.2,1315333.7,7218890.1,4232527.3,12739399.9,7489047.4,19280253.3,13542932.9
,BK,2.72,1.7,3793,2501,1394.485294,1471.176471,547,30.2,10,728,2.9,3,503,11.8,2.4,288,24,11.7,613,3.3,6.9,150,2253620.8,1309461.4,1704638.9,1014606.6,1962841.3,1191618.3,1972113.7,1360521.5,2174434.8,1236954.5,2611162.4,1509876.6,2642089.2,1462477.8,1521823.1,951491.2,2345596,1373272.6,4351302.5,2560469.3,3591518.1,2476135,5955507.2,3760440.4
,PF,3.09,1.9,4201,2582,1359.546926,1358.947368,518,30.4,10.9,549,7,3.6,943,9,3,339,22.7,11.8,554,1.6,7,155,7351263.7,4230924.5,5509861.5,3192983.1,5519503.7,3247469.2,5603017.9,3483653.2,4027833,2479714.5,6895403.5,4220889.1,5783959.3,3472592.3,6956960.3,4198309.1,1823535.8,980492.1,5241457,2901437.1,6732561.9,3822887.5,13032039.8,8572412.4
RV,AM,4.17,3.25,4807,3746,1152.757794,1152.615385,631,39.3,12.8,464,2.3,1.5,670,2,0.4,360,16.7,9,587,0.8,12.8,139,2903414.8,1853832.2,2542609.8,1590437,2398707.1,1484641.6,4133468.3,2391040.7,2796124.8,1755801.8,9027550.7,5512121.5,10508507.5,6155649.4,4444240.7,2749282.4,2627369.8,1645374.6,4853692.3,2843169.1,5910044.6,3519005,12215165.4,6515488
,PS,5.05,4.69,5905,5409,1169.306931,1153.304904,609,40,12,463,2.3,1.6,606,1.8,0.2,328,16.7,10.7,545,1.2,10.5,163,5350675.4,3349706.5,4955016.8,3052027.2,6833508.9,4091061.4,5579054.2,3291801,4136495.1,2526403.4,7680086.9,4592739.2,9586758.4,5625834.4,7875528.5,4815272.2,3925895.8,2434864.1,5617615.7,3364027.4,dlguswls87**(,4012299.8,10500918.5,6850794.7
,LM,3.41,2.29,4590,3079,1346.041056,1344.541485,477,31.7,11.8,529,9.2,4.6,588,3.5,0.9,360,21.3,6.9,582,2.6,5.4,151,4778965.1,2595591.8,3273384,1972279.8,4560282.3,2640884.5,3528226.6,1802747.1,2459032.1,1446564.7,2965125,1668517.1,4381888.3,2512355.1,4117558.6,2407389.6,4576619,2510943.3,4087893,2290162,5259127.6,3151246.8,7175753.5,4458328.9
,SL,4.24,3.04,5914,4234,1394.811321,1392.763158,466,31.9,11,523,8.2,3.9,870,4.1,0.1,320,20.7,9,573,0.5,9.6,167,6369410,3629341.6,4181884.5,2492088.3,4902769.5,2882632.9,4961661.7,2868915.6,3293477.1,2136753.6,3535595.3,2131285,4987660.3,2920737,4909160.1,2869503.5,1855591.6,1071210,3933665,2192095.2,5652689.7,3370803.8,8248218.5,5183916.7
,XM,2.73,1.78,4349,2837,1593.040293,1593.820225,490,34.5,12.4,530,8.7,3.6,622,0.9,0.2,389,21.6,9.1,599,1.8,5.3,152,5204085.5,2958129.1,3046307.1,1819005.1,4137555.6,2456094.5,3634476.2,2103302.1,2613111.2,1648886.1,3527799.6,2086935.3,3791248.2,2174303.8,4115094.6,2427467.6,2923854.7,2034085.1,3657559.6,1955379.1,7443360.6,4135797.3,11903243.5,7888542.8
,DM,4.76,3.92,7242,5951,1521.428571,1518.112245,448,31.4,11.7,543,9.5,4.3,609,1.5,0.1,375,21.5,8.2,581,2.7,3.4,158,5475091.9,3135533.2,4723019.6,2675590.8,4645745.3,2684476.9,4178234.2,2488863.6,4501012.8,2737290.4,6525867.2,3826784.1,4919770.6,2868529.8,5900089.7,3299239.2,6541959.2,3789376.6,6239537.3,3509615.2,7589379.3,4646352.7,13149612,9700932.9
,NC,4.61,3.6,7549,5895,1637.527115,1637.5,465,31.1,11.7,526,9.2,4.2,617,0.5,0.1,376,21.5,8.1,582,2.6,3.4,160,5067962.6,2908819.5,4667496.5,2639460.6,4779470.6,2788730,4520626.2,2403450.4,3672477.3,2205598.1,4043983.3,2501610.5,5683833.4,3404500.2,8133067.1,4564407.4,3837772.9,2455676,6346775.5,3456472.3,10403765.7,6204270.4,12714653.2,9483988.6
,YP,4.62,3.79,8310,6817,1798.701299,1798.680739,353,26.3,9.4,547,7.7,2.8,916,0.3,0.1,421,19.4,5.4,612,0.9,8.3,168,10918642.4,6315106.1,10076755.9,5643977.4,10559383,6045750.2,12814303.5,7341524.3,12780390.1,7445075.6,19241375.6,11788687.5,13140411.8,7235208.1,3730985.4,1915983,4134134.2,2106957.4,6735376.1,3855162.5,9212697.6,5686210.6,13103370.2,8733459.1
,VQ,2.34,1.63,4172,2912,1782.905983,1786.503067,471,34.9,13.1,494,9.4,3.7,816,0.2,0.2,471,20.2,4.1,570,2.3,4.9,171,5679872.9,3353874.3,6037679.4,3601625.4,6499930.8,4021117.9,8162966.8,5261194,7620347.1,4791584.1,12993467.9,8242466.3,14065546.5,8568406,3462923.8,2445754.6,2704384.8,1786150.7,3816191.3,2182679.1,4293506.1,2592746.2,9581416.3,6612667.3
,R P,4.67,3.25,6299,4379,1348.82227,1347.384615,407,47.3,14.2,716,10.7,3.5,645,1.4,0.6,367,19.4,9.9,576,1.7,8,145,9823747.3,5451055,11603199.6,6394487.3,13331681.3,8379707.8,24293792.4,15024717.9,4896668,2628460.2,1729159.7,817348.7,2214355.1,1286531,2070675.2,1382660.4,2120840.3,1458915.8,6354642,3800134.3,8755527.2,5427398.7,12599954.5,8738297.6
,UM,4.72,3.88,7403,6077,1568.432203,1566.237113,506,30.8,11,476,7.5,3.4,628,0.5,0.6,354,19.5,8.4,561,0.7,7.5,175,5771303.4,3278525.2,5431010,3096909.9,5503494.3,3198559,6294927.2,3782448.9,5553358.3,3321044.2,7193865.1,4408876.8,8209920.1,5323415.1,6705179.9,3484277.2,3716391.9,2065621.3,4874595.4,2668033.4,9059912.1,5527916.5,12300822.8,8122530
,GC,3.79,2.82,4789,3561,1263.588391,1262.765957,670,32,11.7,395,0.9,0.7,757,6.2,1.6,309,19.3,10,553,1.5,7.2,142,3714426.5,2148320.3,2893853.2,1720339.1,2874051.2,1715895.1,3847785.3,2141079.2,4464932.5,2415032.5,6527665.9,3533363,8213789.5,5074259.8,4547935,2623914.3,2480076.8,1481307.3,4130344.8,2465692.5,4496589.2,2832279.5,8208127.8,4496933.2
